HIGH	acl-check	[`apps/mobile/src/app/(app)/session/_layout.tsx`](https://github.com/cognoco/eduagent-build//blob/main/apps/mobile/src/app/(app)/session/_layout.tsx#L9) (lines 9)	Proxy-mode session write protection relies on a client-side redirect for non-metered writes
HIGH	acl-check	[`apps/mobile/src/app/consent.tsx`](https://github.com/cognoco/eduagent-build//blob/main/apps/mobile/src/app/consent.tsx#L46-L180) (lines 46, 148, 153, 155, 172, 178, 180)	Consent request can target arbitrary same-account profiles
HIGH	missing-auth	[`.github/workflows/claude.yml`](https://github.com/cognoco/eduagent-build//blob/main/.github/workflows/claude.yml#L20-L45) (lines 20, 21, 22, 23, 24, 30, 43, 45)	Any @claude issue or comment can invoke a secret-backed agent
HIGH_BUG	other-data-loss	[`apps/api/src/services/dictation/result.ts`](https://github.com/cognoco/eduagent-build//blob/main/apps/api/src/services/dictation/result.ts#L33-L59) (lines 33, 45, 59)	Same-day dictations in the same mode overwrite each other
HIGH_BUG	other-race-condition	[`apps/api/src/services/billing/trial.ts`](https://github.com/cognoco/eduagent-build//blob/main/apps/api/src/services/billing/trial.ts#L229-L243) (lines 229, 236, 243)	Trial-expiry cron can downgrade a just-converted paying subscriber (missing status='trial' guard)
HIGH_BUG	other-race-condition	[`apps/api/src/services/deletion.ts`](https://github.com/cognoco/eduagent-build//blob/main/apps/api/src/services/deletion.ts#L162-L171) (lines 162, 171)	Deletion cancellation/restoration checks are not atomic with final deletes
HIGH_BUG	other-stale-instance-action	[`apps/mobile/src/components/session/ChatShell.tsx`](https://github.com/cognoco/eduagent-build//blob/main/apps/mobile/src/components/session/ChatShell.tsx#L199-L919) (lines 199, 512, 515, 765, 811, 823, 827, 919)	Dormant web ChatShell still exposes voice controls bound to stale session handlers
HIGH_BUG	other-value-loss	[`apps/api/src/services/billing/top-up.ts`](https://github.com/cognoco/eduagent-build//blob/main/apps/api/src/services/billing/top-up.ts#L128-L182) (lines 128, 155, 182)	Top-up credits permanently stranded after upgrading from a shared-pool tier to a per-profile tier
MEDIUM	acl-check	[`apps/api/src/routes/account.ts`](https://github.com/cognoco/eduagent-build//blob/main/apps/api/src/routes/account.ts#L38-L44) (lines 38, 42, 44)	GET /account/deletion-status lacks the owner gate its three sibling routes enforce
MEDIUM	acl-check	[`apps/api/src/routes/sessions.ts`](https://github.com/cognoco/eduagent-build//blob/main/apps/api/src/routes/sessions.ts#L360-L407) (lines 360, 379, 407)	Library-filing write endpoints missing proxy-mode guard (parent-in-proxy can mutate/delete child's session data)
